epochs: 10, err_dist: x:2.15, y:3.78, bias corrected: x:2.16, y:1.58
tolerance: 1, acc_box: x:50.32, y:3.90, x_corr:41.56, y_corr:28.90
tolerance: 2, acc_box: x:53.57, y:18.18, x_corr:56.82, y_corr:83.44
tolerance: 3, acc_box: x:67.21, y:40.58, x_corr:67.86, y_corr:90.58
tolerance: 4, acc_box: x:74.35, y:47.40, x_corr:79.22, y_corr:93.83
tolerance: 5, acc_box: x:87.66, y:77.27, x_corr:92.86, y_corr:97.40
tolerance: 6, acc_box: x:97.08, y:92.86, x_corr:93.83, y_corr:99.68



epochs: 20, err_dist: x:2.12, y:3.41, bias corrected: x:2.07, y:1.31
tolerance: 1, acc_box: x:52.27, y:5.19, x_corr:49.03, y_corr:37.34
tolerance: 2, acc_box: x:62.01, y:17.86, x_corr:60.39, y_corr:85.71
tolerance: 3, acc_box: x:66.88, y:41.56, x_corr:75.32, y_corr:94.16
tolerance: 4, acc_box: x:78.57, y:59.74, x_corr:79.22, y_corr:97.73
tolerance: 5, acc_box: x:82.79, y:87.99, x_corr:90.58, y_corr:100.00
tolerance: 6, acc_box: x:93.83, y:96.10, x_corr:94.48, y_corr:100.00



epochs: 30, err_dist: x:2.41, y:3.24, bias corrected: x:2.28, y:1.41
tolerance: 1, acc_box: x:48.70, y:5.52, x_corr:49.35, y_corr:34.09
tolerance: 2, acc_box: x:53.90, y:21.43, x_corr:55.19, y_corr:84.09
tolerance: 3, acc_box: x:61.36, y:47.40, x_corr:66.23, y_corr:92.21
tolerance: 4, acc_box: x:70.13, y:64.29, x_corr:75.65, y_corr:94.81
tolerance: 5, acc_box: x:82.47, y:90.58, x_corr:87.66, y_corr:97.08
tolerance: 6, acc_box: x:95.13, y:97.40, x_corr:92.53, y_corr:99.35



epochs: 40, err_dist: x:2.09, y:3.67, bias corrected: x:2.03, y:1.68
tolerance: 1, acc_box: x:52.92, y:3.25, x_corr:35.71, y_corr:26.30
tolerance: 2, acc_box: x:61.36, y:15.26, x_corr:62.99, y_corr:81.17
tolerance: 3, acc_box: x:65.58, y:40.91, x_corr:75.00, y_corr:87.66
tolerance: 4, acc_box: x:76.30, y:50.65, x_corr:85.39, y_corr:90.58
tolerance: 5, acc_box: x:85.06, y:83.77, x_corr:95.78, y_corr:95.78
tolerance: 6, acc_box: x:97.40, y:92.86, x_corr:96.10, y_corr:97.08



epochs: 50, err_dist: x:2.34, y:3.47, bias corrected: x:2.24, y:1.49
tolerance: 1, acc_box: x:44.48, y:5.19, x_corr:47.08, y_corr:30.52
tolerance: 2, acc_box: x:53.57, y:18.51, x_corr:51.95, y_corr:81.82
tolerance: 3, acc_box: x:61.69, y:41.88, x_corr:63.96, y_corr:90.58
tolerance: 4, acc_box: x:72.40, y:56.49, x_corr:76.95, y_corr:93.51
tolerance: 5, acc_box: x:84.74, y:85.06, x_corr:89.94, y_corr:99.35
tolerance: 6, acc_box: x:97.73, y:95.78, x_corr:94.81, y_corr:99.35



epochs: 60, err_dist: x:2.23, y:3.59, bias corrected: x:2.10, y:1.59
tolerance: 1, acc_box: x:50.00, y:4.22, x_corr:40.26, y_corr:33.12
tolerance: 2, acc_box: x:56.17, y:16.56, x_corr:58.77, y_corr:81.82
tolerance: 3, acc_box: x:60.71, y:41.88, x_corr:70.45, y_corr:87.01
tolerance: 4, acc_box: x:72.73, y:56.82, x_corr:82.79, y_corr:90.26
tolerance: 5, acc_box: x:87.34, y:85.71, x_corr:91.88, y_corr:95.45
tolerance: 6, acc_box: x:98.38, y:92.86, x_corr:95.78, y_corr:98.05



