epochs: 10, err_dist: x:3.97, y:3.48, bias corrected: x:3.40, y:1.99
tolerance: 1, acc_box: x:8.12, y:6.82, x_corr:24.35, y_corr:53.25
tolerance: 2, acc_box: x:18.83, y:13.64, x_corr:44.48, y_corr:61.69
tolerance: 3, acc_box: x:53.57, y:40.26, x_corr:51.95, y_corr:69.81
tolerance: 4, acc_box: x:64.29, y:78.90, x_corr:61.69, y_corr:77.27
tolerance: 5, acc_box: x:69.81, y:81.82, x_corr:69.16, y_corr:88.31
tolerance: 6, acc_box: x:75.65, y:87.34, x_corr:76.62, y_corr:98.38



epochs: 20, err_dist: x:4.07, y:3.23, bias corrected: x:2.73, y:1.21
tolerance: 1, acc_box: x:3.25, y:6.49, x_corr:25.00, y_corr:64.94
tolerance: 2, acc_box: x:25.97, y:12.66, x_corr:55.84, y_corr:79.55
tolerance: 3, acc_box: x:57.14, y:37.99, x_corr:62.99, y_corr:85.71
tolerance: 4, acc_box: x:59.42, y:81.82, x_corr:71.43, y_corr:91.23
tolerance: 5, acc_box: x:63.96, y:92.86, x_corr:84.42, y_corr:97.40
tolerance: 6, acc_box: x:70.13, y:96.10, x_corr:95.45, y_corr:99.35



epochs: 30, err_dist: x:4.49, y:3.06, bias corrected: x:2.93, y:1.39
tolerance: 1, acc_box: x:3.25, y:5.19, x_corr:22.40, y_corr:69.16
tolerance: 2, acc_box: x:15.58, y:6.49, x_corr:52.60, y_corr:84.42
tolerance: 3, acc_box: x:48.05, y:43.18, x_corr:57.79, y_corr:87.99
tolerance: 4, acc_box: x:53.90, y:92.21, x_corr:67.21, y_corr:90.26
tolerance: 5, acc_box: x:58.77, y:97.40, x_corr:84.09, y_corr:90.91
tolerance: 6, acc_box: x:67.53, y:99.03, x_corr:90.91, y_corr:93.83



