epochs: 10, err_dist: x:1.35, y:5.30, bias corrected: x:0.59, y:0.82
tolerance: 1, acc_box: x:37.99, y:0.00, x_corr:88.64, y_corr:65.58
tolerance: 2, acc_box: x:92.86, y:0.00, x_corr:94.81, y_corr:92.53
tolerance: 3, acc_box: x:96.43, y:0.65, x_corr:96.43, y_corr:100.00
tolerance: 4, acc_box: x:96.43, y:11.04, x_corr:96.75, y_corr:100.00
tolerance: 5, acc_box: x:96.43, y:41.88, x_corr:99.03, y_corr:100.00
tolerance: 6, acc_box: x:98.70, y:78.57, x_corr:100.00, y_corr:100.00



epochs: 20, err_dist: x:1.03, y:5.29, bias corrected: x:0.35, y:1.11
tolerance: 1, acc_box: x:52.27, y:0.00, x_corr:93.51, y_corr:49.35
tolerance: 2, acc_box: x:97.40, y:0.00, x_corr:100.00, y_corr:88.96
tolerance: 3, acc_box: x:100.00, y:0.97, x_corr:100.00, y_corr:98.70
tolerance: 4, acc_box: x:100.00, y:20.78, x_corr:100.00, y_corr:100.00
tolerance: 5, acc_box: x:100.00, y:46.75, x_corr:100.00, y_corr:100.00
tolerance: 6, acc_box: x:100.00, y:69.16, x_corr:100.00, y_corr:100.00



epochs: 30, err_dist: x:2.40, y:5.88, bias corrected: x:0.58, y:1.54
tolerance: 1, acc_box: x:0.32, y:0.00, x_corr:87.34, y_corr:25.32
tolerance: 2, acc_box: x:26.30, y:0.00, x_corr:96.43, y_corr:60.06
tolerance: 3, acc_box: x:87.66, y:3.57, x_corr:96.43, y_corr:96.43
tolerance: 4, acc_box: x:100.00, y:24.68, x_corr:98.38, y_corr:100.00
tolerance: 5, acc_box: x:100.00, y:37.34, x_corr:100.00, y_corr:100.00
tolerance: 6, acc_box: x:100.00, y:47.40, x_corr:100.00, y_corr:100.00



epochs: 40, err_dist: x:2.33, y:6.36, bias corrected: x:0.48, y:1.66
tolerance: 1, acc_box: x:0.32, y:0.00, x_corr:94.48, y_corr:31.49
tolerance: 2, acc_box: x:24.68, y:0.00, x_corr:96.43, y_corr:64.29
tolerance: 3, acc_box: x:95.78, y:0.00, x_corr:96.43, y_corr:93.83
tolerance: 4, acc_box: x:100.00, y:18.51, x_corr:98.38, y_corr:100.00
tolerance: 5, acc_box: x:100.00, y:33.44, x_corr:100.00, y_corr:100.00
tolerance: 6, acc_box: x:100.00, y:42.86, x_corr:100.00, y_corr:100.00



epochs: 50, err_dist: x:2.65, y:5.86, bias corrected: x:0.56, y:1.45
tolerance: 1, acc_box: x:0.00, y:0.00, x_corr:93.83, y_corr:28.57
tolerance: 2, acc_box: x:17.53, y:0.00, x_corr:96.43, y_corr:71.10
tolerance: 3, acc_box: x:85.71, y:0.65, x_corr:96.43, y_corr:94.16
tolerance: 4, acc_box: x:96.43, y:20.78, x_corr:96.43, y_corr:100.00
tolerance: 5, acc_box: x:96.43, y:38.96, x_corr:98.38, y_corr:100.00
tolerance: 6, acc_box: x:96.43, y:52.27, x_corr:100.00, y_corr:100.00



epochs: 60, err_dist: x:2.50, y:6.18, bias corrected: x:0.60, y:1.37
tolerance: 1, acc_box: x:0.32, y:0.00, x_corr:90.58, y_corr:35.71
tolerance: 2, acc_box: x:19.16, y:0.00, x_corr:96.10, y_corr:74.03
tolerance: 3, acc_box: x:84.09, y:0.32, x_corr:96.43, y_corr:94.48
tolerance: 4, acc_box: x:100.00, y:9.74, x_corr:96.43, y_corr:100.00
tolerance: 5, acc_box: x:100.00, y:32.79, x_corr:99.35, y_corr:100.00
tolerance: 6, acc_box: x:100.00, y:47.08, x_corr:100.00, y_corr:100.00



